title_album;artist_album;tracks_album;time_posted;any_album;likes;repost;url_album;
EP-Igualdade Inexistente;Indynho Psicodelico;none;2013-12-12T21:29:39.000Z;Album;2;Repost;https://soundcloud.com/indynhopsicodelico/sets/ep-igualdade-inexistente;
Mixtape- Me Fortaleço Naquele que Tudo eu Posso;Indynho Psicodelico;View 12 tracks;2013-12-12T21:31:20.000Z;Album;5;Repost;https://soundcloud.com/indynhopsicodelico/sets/mixtape-me-fortale-o-naquele;
The 50's - A Decade to Remember: Great Balls of Fire;The Coasters;View 15 tracks;2002-03-01T00:00:00.000Z;Album · 2002;6;Repost;https://soundcloud.com/thecoasters/sets/the-50s-a-decade-to-remember;
Archivo RCA: La Década del '50: Juan De Dios Filiberto;Juan De Dios Filiberto y su Gran Orquesta;View 16 tracks;2007-07-15T00:00:00.000Z;Album · 2007;Like;Repost;https://soundcloud.com/juandediosfilibertoysugranorquesta/sets/archivo-rca-la-434862801;
Grupo América ao vivo (década de 80);Pablo Carranza;View 11 tracks;2012-05-15T02:17:45.000Z;Album;Like;Repost;https://soundcloud.com/pablo-carranza/sets/grupo-am-rica-ao-vivo-d-cada;
Polêmica - Batalha musical da década 30;Roberto Paiva;View 9 tracks;2023-03-24T00:00:00.000Z;Album · 2023;Like;Repost;https://soundcloud.com/robertopaiva/sets/polemica-batalha-musical-da;
The Lo-Files, a Lost Decade (2001 - 2010);AKA ChaP in 00'S;View 15 tracks;2018-09-27T00:00:00.000Z;Album · 2018;10;9;https://soundcloud.com/akachapin00s/sets/the-lo-files-a-lost-decade;
EDM127-Decade of Deca-dance 1 - 10 years of Psychedelic Goa Techno Trance Evolution (2004-2014);EDM Records (Official);View 10 tracks;2014-04-02T03:03:09.000Z;Compilation · 2014;36;8;https://soundcloud.com/edmrec/sets/edm127;
The 50's - A Decade to Remember: At The Hop;Pat Boone;View 14 tracks;2002-03-01T00:00:00.000Z;Album · 2002;Like;Repost;https://soundcloud.com/pat-boone-official/sets/the-50s-a-decade-to-remember-1;
Sólo Lo Mejor: 20 Exitos;Jon Secada;View 20 tracks;2001-01-01T00:00:00.000Z;Album · 2001;4;Repost;https://soundcloud.com/jon-secada/sets/solo-lo-mejor-20-exitos;
Requiem Cataclysm／5KiLOBYTE & Raphiiel【from AX10MA::Hardcore vol. 1】;5KiLOBYTE❧;none;2021-04-30T00:31:45.000Z;Single · 2021;1;1;https://soundcloud.com/5kilobyte/sets/requiem-cataclysm-w-raphiiel;
20SOMETHING NEW DECADE reject;justice.;View 7 tracks;2020-11-06T04:47:43.000Z;Album · 2020;4;2;https://soundcloud.com/justiceashwell/sets/20something-new-decade-reject;
10 (Decade);Abavuki;View 13 tracks;2012-09-14T00:00:00.000Z;Album · 2012;Like;Repost;https://soundcloud.com/abavuki-music/sets/10-decade;
The Lo-Files, a Lost Decade (2001 - 2010), Pt. IV;AKA ChaP in 00'S;View 16 tracks;2020-02-25T00:00:00.000Z;Album · 2020;Like;Repost;https://soundcloud.com/akachapin00s/sets/the-lo-files-a-lost-decade-1;
30 Exitos Insuperables;Jon Secada;View 30 tracks;2009-01-01T00:00:00.000Z;Album · 2009;9;Repost;https://soundcloud.com/jon-secada/sets/30-exitos-insuperables-1;
Decade of Groove (20)14 (Continuous Mix by Agent Blaiszik);Agent Blaiszik;View 17 tracks;2018-06-27T08:59:59.000Z;Album · 2014;6;Repost;https://soundcloud.com/kurt-b-570479570/sets/decades-of-groove;
2020 Decade 50 Years in the Making;DJ Rapper J Lee;View 11 tracks;2020-09-14T00:00:00.000Z;Album · 2020;Like;Repost;https://soundcloud.com/djrapperjlee/sets/2020-decade-50-years-in-the;
Decade 20;James Asher;View 12 tracks;2020-11-11T00:00:00.000Z;Album · 2020;1;Repost;https://soundcloud.com/jamesasher/sets/decade-20-1;
A Decade of Rock (Best of 10 Years);orange rockband;View 9 tracks;2005-02-25T00:00:00.000Z;Album · 2005;Like;Repost;https://soundcloud.com/orangerockband/sets/a-decade-of-rock-best-of-10;
Aegis 20 & Beyond (Sa Ikalawang Dekada Ng Musika Natin);Aegis;View 10 tracks;2018-07-10T00:00:00.000Z;Album · 2018;1;Repost;https://soundcloud.com/aegis-music/sets/aegis-20-beyond-sa-ikalawang;
Décadas de Oro 70s-80s;Manoella Torres;View 17 tracks;2018-01-20T00:00:00.000Z;Album · 2018;1;Repost;https://soundcloud.com/manoella-torres-official/sets/decadas-de-oro-70s-80s;
