title_album;artist_album;tracks_album;time_posted;any_album;likes;repost;url_album;
Pop Español Vol.1;Arranque Pop;View 19 tracks;2011-10-05T00:00:00.000Z;Album · 2011;Like;Repost;https://soundcloud.com/arranquepop/sets/pop-espanol-vol-1;
Grabación Revelación;Revelacionband;View 8 tracks;2012-03-02T07:26:11.000Z;Album;1;1;https://soundcloud.com/revelacionband/sets/grabacion-revelacion;
Azu&Dari Dúo Instrumental;Azu&Dari Dúo Instrumental;View 10 tracks;2020-02-26T09:18:32.000Z;Album · 2020;1;Repost;https://soundcloud.com/dari-norbert/sets/azu-dari-duo-instrumental;
Cenachero;Javier Gall;View 9 tracks;2018-10-08T07:07:26.000Z;Compilation · 2018;Like;Repost;https://soundcloud.com/javiergall/sets/cenachero;
Blues & R'n'R Demos feat Juan Campello;Juan Blas Becerra;View 10 tracks;2017-01-16T20:50:56.000Z;Album · 2017;10;1;https://soundcloud.com/juan-blas-becerra/sets/blues-rnr-demos-juan-blas-becerra-juan-campello;
The House of Blues in Concert with Terry Keyworth, Peter Cooke & Juan Blas Becerra.;Juan Blas Becerra;none;2016-12-06T13:17:42.000Z;Album · 2016;4;Repost;https://soundcloud.com/juan-blas-becerra/sets/in-concert-with-terry-keyworth-peter-cooke-feat-juan-blas-becerra-on-harmonica;
Beyond The Blues;Juan Blas Becerra;none;2016-11-25T21:07:09.000Z;EP · 2016;2;Repost;https://soundcloud.com/juan-blas-becerra/sets/beyond-the-blues;
Del album "Alright" de Santiago Campillo & Miguel Bañón, con Juan Blas Becerra y Diego Galáz;Juan Blas Becerra;none;2017-03-28T00:09:18.000Z;Single · 2015;4;Repost;https://soundcloud.com/juan-blas-becerra/sets/alright;
Los Bandidos ¡Live!;Juan Blas Becerra;none;2016-12-06T18:31:14.000Z;Album · 2016;1;Repost;https://soundcloud.com/juan-blas-becerra/sets/los-bandidos-live;
Jarrapellos;Juan Blas Becerra;none;2017-01-10T14:17:16.000Z;Album · 2017;Like;Repost;https://soundcloud.com/juan-blas-becerra/sets/jarrapellos;
Con Miguel Bañon (Ensayos 2012);Juan Blas Becerra;View 20 tracks;2017-03-27T23:11:59.000Z;Compilation · 2012;8;2;https://soundcloud.com/juan-blas-becerra/sets/con-miguel-banon;
New Releases edición española presentado por Kiko Martinez (Compilación Octubre 2011);DocePulgadas;none;2012-08-28T21:31:43.000Z;Compilation;Like;Repost;https://soundcloud.com/docepulgadas/sets/new-releases-edici-n-espa-ola;
La Gloriosa Resurrección (Canto Eclesiástico Bizantino En Español);Cantado por el Coro de la Catedral de San Jorge;View 11 tracks;2020-01-25T00:00:00.000Z;Album · 2020;Like;Repost;https://soundcloud.com/cantadoporelcorodelacatedraldesanjorge/sets/la-gloriosa-resurreccion-canto;
Chico Para Que Por Fa: Una extensión al español de Bxtch Please!;Luis Joan;View 14 tracks;2018-06-16T18:27:23.000Z;Album · 2018;Like;Repost;https://soundcloud.com/luisjoan/sets/chico-para-que-por-fa;
Si Yo Hablo Español, ¿Por Que No Cantar En Español?;Antonieixon;none;2023-10-04T23:24:52.000Z;Compilation · 2023;Like;Repost;https://soundcloud.com/thonny-souza-706777854/sets/si-yo-hablo-espa-ol-por-que-no;
5 minutos por la educación en español;5 mins. por la educación;View 6 tracks;2021-09-02T17:33:00.000Z;Compilation · 2021;Like;Repost;https://soundcloud.com/5minxlaeducacion/sets/esp;
La Pasión Salvífica (Canto Eclesiástico Bizantino En Español);Cantado por el Coro de la Catedral de San Jorge;View 16 tracks;2020-01-25T00:00:00.000Z;Album · 2020;Like;Repost;https://soundcloud.com/cantadoporelcorodelacatedraldesanjorge/sets/la-pasion-salvifica-canto;
RAP ESPAÑOL HIP-HOP ASTURIAS CAFIALAMAFIA;K D M - M U S I C ♪;View 49 tracks;2019-10-27T23:36:12.000Z;Compilation · 2020;4;2;https://soundcloud.com/kdmhiphopasturias/sets/cafialamafia-hip-hop-1;
Paráclesis: Súplicas a La Madre De Dios (Canto Eclesiástico Bizantino En Español);Cantado por el Coro de la Catedral de San Jorge;View 25 tracks;2020-01-25T00:00:00.000Z;Album · 2020;1;Repost;https://soundcloud.com/cantadoporelcorodelacatedraldesanjorge/sets/paraclesis-suplicas-a-la-madre;
21 Las rimas infantiles en español favoritas de Little Timmy (2022 Preocupado por nada registros);The Playtime Allstars;View 21 tracks;2022-07-08T00:00:00.000Z;Album · 2022;Like;Repost;https://soundcloud.com/theplaytimeallstars/sets/21-las-rimas-infantiles-en;
Dos Vidas | Canciones de Rock Mestizo, Música Pop Española y Rock Latino Actual;Basilio Montes;View 10 tracks;2017-03-13T16:08:31.000Z;Album · 2017;5;1;https://soundcloud.com/basilio-montes/sets/2vidas;
Canciones en la Memoria: Música Pop Rock Española de los 80's;Lucas Terato;View 18 tracks;2015-05-20T00:00:00.000Z;Album · 2015;5;Repost;https://soundcloud.com/lucasteratoofficial/sets/canciones-en-la-memoria-musica;
Background. Canciones de Rock Mestizo, Blues Fronterizo y Música Pop Española;Basilio Montes;View 6 tracks;2017-01-31T03:43:34.000Z;EP · 2017;10;1;https://soundcloud.com/basilio-montes/sets/background;
Rock & Pop en español;Rock Pop Todos Tiempos;none;2013-03-18T04:32:06.000Z;Compilation;23;2;https://soundcloud.com/rock-pop-todos-los-tiempos/sets/rock-pop-en-espa-ol;
K-Pop en español;Lia Olmu;View 39 tracks;2014-10-26T05:50:52.000Z;Compilation · 2012;4;Repost;https://soundcloud.com/liaolmu/sets/lia-music-factory;
